KEY.SHIFT,1635515567.3115287,True
'D',1635515567.5788765,True
'D',1635515567.7345982,False
KEY.SHIFT,1635515567.7490633,False
'A',1635515567.857687,True
'S',1635515567.9818578,True
'A',1635515568.074407,False
KEY.SPACE,1635515568.1059067,True
'S',1635515568.1535878,False
KEY.SPACE,1635515568.2454257,False
KEY.SHIFT,1635515568.293,True
'M',1635515568.511379,True
'M',1635515568.6220849,False
KEY.SHIFT,1635515568.6220849,False
'A',1635515568.7302403,True
'G',1635515568.8871968,True
'A',1635515568.919102,False
'G',1635515569.0085254,False
'I',1635515569.0584042,True
'S',1635515569.1346862,True
'I',1635515569.2127793,False
'C',1635515569.2597787,True
'S',1635515569.3306627,False
'H',1635515569.368626,True
'C',1635515569.4294133,False
'H',1635515569.4869945,False
'E',1635515569.4914389,True
'E',1635515569.6459298,False
KEY.SPACE,1635515569.6489651,True
KEY.SPACE,1635515569.7718296,False
'D',1635515569.8192153,True
'E',1635515569.929494,True
'D',1635515569.9608378,False
'R',1635515570.0530586,True
'E',1635515570.1466591,False
KEY.SPACE,1635515570.1776257,True
'R',1635515570.1966162,False
KEY.SPACE,1635515570.3049664,False
KEY.SHIFT,1635515570.3507824,True
'W',1635515570.8789954,True
'W',1635515571.022215,False
KEY.SHIFT,1635515571.0701172,False
'I',1635515571.1649637,True
'N',1635515571.3051503,True
'I',1635515571.3522575,False
'T',1635515571.3830755,True
'N',1635515571.4286242,False
'T',1635515571.4771457,False
'E',1635515571.5032804,True
'R',1635515571.5867636,True
'E',1635515571.6484113,False
'R',1635515571.7432306,False
'Z',1635515571.7888181,True
'E',1635515571.8672009,True
'Z',1635515571.913031,False
'I',1635515571.9901347,True
'E',1635515572.0217583,False
'T',1635515572.1137874,True
'I',1635515572.1287863,False
'T',1635515572.2400823,False
KEY.SPACE,1635515572.2715068,True
KEY.SPACE,1635515572.3645935,False
'I',1635515572.551141,True
'S',1635515572.6445253,True
'I',1635515572.659634,False
'T',1635515572.7849793,True
'S',1635515572.863489,False
KEY.SPACE,1635515572.8932426,True
'T',1635515572.9093266,False
KEY.SPACE,1635515573.0030875,False
'D',1635515573.049096,True
'I',1635515573.158609,True
'D',1635515573.1747751,False
'E',1635515573.2668269,True
'I',1635515573.296924,False
KEY.SPACE,1635515573.390154,True
'E',1635515573.406535,False
KEY.SPACE,1635515573.499321,False
